"Segment","Symbol","Net Qty","Prev. Close (₹)","Realized Profit/Loss  (₹)","Unrealized Profit/Loss  (₹)","Profit/Loss (₹)","Buy Qty","Buy Rate (₹)","Sell Qty","Sell Rate (₹)","Open Qty","Open Rate (₹)"
"NSE_FNO","NSE:BANKNIFTY22DEC44600CE","0","0","-913.75","0","-913.75","50","54.35","50","36.075","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0340000PE","0","0","3030","0","3030","50","35.65","50","96.25","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0341000CE","0","0","2411.25","0","2411.25","50","576.75","50","624.975","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0341400CE","0","0","-967.5","0","-967.5","25","256.55","25","217.85","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0341500CE","0","0","-3427.5","0","-3427.5","50","284.25","50","215.7","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0341600CE","0","0","-2826.25","0","-2826.25","50","308.7","50","252.175","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0342000CE","0","0","605","0","605","50","40.1","50","52.2","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0342400CE","0","0","2720","0","2720","200","27.475","200","41.075","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0342500CE","0","0","1725","0","1725","100","15.5","100","32.75","0","0"
"NSE_FNO","NSE:BANKNIFTY22N0343500CE","0","0","-280","0","-280","200","6.1","200","4.7","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1038500PE","0","0","-45","0","-45","100","5.45","100","5","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1039800PE","0","0","-220","0","-220","50","34.9","50","30.5","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1040000PE","0","0","165","0","165","50","106.9","50","110.2","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1040100PE","0","0","1120","0","1120","50","46.1","50","68.5","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1041000PE","0","0","-101.25","0","-101.25","25","308.85","25","304.8","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1041200PE","0","0","-1147.5","0","-1147.5","25","370.2","25","324.3","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1041300PE","0","0","-547.5","0","-547.5","25","469.25","25","447.35","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1041500CE","0","0","-11462.5","0","-11462.5","75","374.05","75","221.2167","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1042000PE","0","0","245","0","245","25","806.25","25","816.05","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1042100CE","0","0","2820","0","2820","50","7.15","50","63.55","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1042500CE","0","0","6037.5","0","6037.5","125","46.7","125","95","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1739000PE","0","0","-475","0","-475","100","9.05","100","4.3","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1740500PE","0","0","3105","0","3105","75","20.3","75","61.7","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1741400PE","0","0","2722.5","0","2722.5","75","61.8","75","98.1","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1742000CE","0","0","-4255","0","-4255","175","315.3714","175","291.0571","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1742500CE","0","0","-742.5","0","-742.5","25","138.6","25","108.9","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1742600CE","0","0","-9152.5","0","-9152.5","75","191.1833","75","69.15","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1742800CE","0","0","225","0","225","50","45.05","50","49.55","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1742900CE","0","0","2647.5","0","2647.5","50","31.4","50","84.35","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1743500CE","0","0","1550","0","1550","100","10.6","100","26.1","0","0"
"NSE_FNO","NSE:BANKNIFTY22N1745000CE","0","0","-55","0","-55","100","4.2","100","3.65","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV40000PE","0","0","4575","0","4575","50","45.25","50","136.75","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV41000PE","0","0","583.75","0","583.75","100","53.7625","100","59.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV41500CE","0","0","-2062.5","0","-2062.5","25","789.05","25","706.55","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV41500PE","0","0","-8003.75","0","-8003.75","25","576.6","25","256.45","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV42000PE","0","0","-3313.75","0","-3313.75","25","144.95","25","12.4","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV42300CE","0","0","-628.75","0","-628.75","25","236.2","25","211.05","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV42300PE","0","0","-425","0","-425","25","350","25","333","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV42400CE","0","0","-2666.25","0","-2666.25","50","233.475","50","180.15","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV42500PE","0","0","5575","0","5575","50","220.625","50","332.125","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV42900CE","0","0","300","0","300","50","40.3","50","46.3","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV43100CE","0","0","-82.5","0","-82.5","50","32.1","50","30.45","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV43200CE","0","0","4090","0","4090","75","16.7167","75","71.25","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV43500CE","0","0","1942.5","0","1942.5","50","69.8","50","108.65","0","0"
"NSE_FNO","NSE:BANKNIFTY22NOV45000CE","0","0","-350","0","-350","125","4.4","125","1.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0633000PE","0","0","-332.5","0","-332.5","50","7.5","50","0.85","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0636000PE","0","0","1115","0","1115","50","96.15","50","118.45","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0636500PE","0","0","4968.75","0","4968.75","75","85.2","75","151.45","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0637000PE","0","0","-3446.25","0","-3446.25","75","248.95","75","203","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0637300PE","0","0","3568.75","0","3568.75","75","140.0167","75","187.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0637500PE","0","0","-2297.5","0","-2297.5","25","493.5","25","401.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0638000PE","0","0","-1135","0","-1135","50","268.55","50","245.85","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0638300CE","0","0","-2540","0","-2540","25","422.9","25","321.3","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0638400CE","0","0","-202.5","0","-202.5","25","483.4","25","475.3","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0638400PE","0","0","-127.5","0","-127.5","25","559.75","25","554.65","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0639000CE","0","0","3036.25","0","3036.25","200","231.175","200","246.3562","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0639100CE","0","0","-536.25","0","-536.25","25","280.1","25","258.65","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0639300CE","0","0","1350","0","1350","50","54.6","50","81.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0639400CE","0","0","-272.5","0","-272.5","25","134.5","25","123.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0639800CE","0","0","1937.5","0","1937.5","50","11.95","50","50.7","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0639900CE","0","0","1115","0","1115","50","6.5","50","28.8","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0640000CE","0","0","-55","0","-55","50","31.2","50","30.1","0","0"
"NSE_FNO","NSE:BANKNIFTY22O0640500CE","0","0","-452.5","0","-452.5","100","6.375","100","1.85","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1336000PE","0","0","-267.5","0","-267.5","50","8.05","50","2.7","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1337800PE","0","0","-548.75","0","-548.75","50","40.2","50","29.225","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1338000PE","0","0","-1876.25","0","-1876.25","200","94.3312","200","84.95","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1338100PE","0","0","1065","0","1065","50","50.95","50","72.25","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1338900CE","0","0","-27.5","0","-27.5","25","347.85","25","346.75","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1339000PE","0","0","-33.75","0","-33.75","25","361.35","25","360","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1339200CE","0","0","-6130","0","-6130","25","409.1","25","163.9","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1339400CE","0","0","-312.5","0","-312.5","75","104.9","75","100.7333","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1339500PE","0","0","2747.5","0","2747.5","25","516.3","25","626.2","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1339600CE","0","0","-341.25","0","-341.25","25","101.05","25","87.4","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1339800CE","0","0","75","0","75","50","63.8","50","65.3","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1339900CE","0","0","4752.5","0","4752.5","75","32.25","75","95.6167","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1340000CE","0","0","-1933.75","0","-1933.75","50","76.6","50","37.925","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1340200CE","0","0","2887.5","0","2887.5","50","17","50","74.75","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1340600CE","0","0","-67.5","0","-67.5","50","97.4","50","96.05","0","0"
"NSE_FNO","NSE:BANKNIFTY22O1341500CE","0","0","-125","0","-125","50","5.65","50","3.15","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2037500PE","0","0","1.25","0","1.25","50","181.125","50","181.15","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2037800PE","0","0","-255","0","-255","75","5.35","75","1.95","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2038000PE","0","0","2467.5","0","2467.5","50","283.7","50","333.05","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2039100PE","0","0","462.5","0","462.5","50","33.6","50","42.85","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2039300PE","0","0","1687.5","0","1687.5","50","15.4","50","49.15","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2039700PE","0","0","-585","0","-585","50","50","50","38.3","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2039800PE","0","0","-1355","0","-1355","50","64.375","50","37.275","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2040000CE","0","0","-4997.5","0","-4997.5","50","249.1","50","149.15","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2040200PE","0","0","563.75","0","563.75","50","189.45","50","200.725","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2040300CE","0","0","112.5","0","112.5","25","249.55","25","254.05","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2040300PE","0","0","-4691.25","0","-4691.25","25","310.2","25","122.55","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2040400CE","0","0","-357.5","0","-357.5","25","256.65","25","242.35","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2040600PE","0","0","-242.5","0","-242.5","25","238.8","25","229.1","0","0"
"NSE_FNO","NSE:BANKNIFTY22O2040700CE","0","0","-552.5","0","-552.5","25","151.2","25","129.1","0","0"
"NSE_FNO","NSE:BANKNIFTY22OCT36500PE","0","0","-7335","0","-7335","50","500.925","50","354.225","0","0"
"NSE_FNO","NSE:BANKNIFTY22OCT37000PE","0","0","3825","0","3825","50","569.5","50","646","0","0"
"NSE_FNO","NSE:BANKNIFTY22OCT37500PE","0","0","-5022.5","0","-5022.5","50","603.05","50","502.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22OCT38000PE","0","0","10922.5","0","10922.5","100","599.1625","100","708.3875","0","0"
"NSE_FNO","NSE:BANKNIFTY22OCT38300PE","0","0","-525","0","-525","150","4.6","150","1.1","0","0"
